mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur
1	0	0	0	0.0		0	3/8	Dynamic	2/4	1	1	0						p		
1	0	0	0	0.5		0	3/8	Chord	2/4	1	1	1/8		1/8	1	0			articStaccatoAbove	
1	0	0	0	0.5		0	3/8	Chord	2/4	2	1	1/8		1/8	1	1			articStaccatoAbove	
2	1	1/2	1/2	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	2			articStaccatoAbove	
2	1	2	2	0.125		3/8	3/8	Chord	2/4	1	1	1/32		1/32	1	3				0
2	1	17/8	17/8	0.125		13/32	13/32	Chord	2/4	1	1	1/32		1/32	1	4				0
2	1	9/4	9/4	0.125		7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	5				0
2	1	19/8	19/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	6				0
2	1	1/2	1/2	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	7			articStaccatoAbove	
2	1	2	2	0.125		3/8	3/8	Chord	2/4	2	1	1/32		1/32	1	8				1
2	1	17/8	17/8	0.125		13/32	13/32	Chord	2/4	2	1	1/32		1/32	1	9				1
2	1	9/4	9/4	0.125		7/16	7/16	Chord	2/4	2	1	1/32		1/32	1	10				1
2	1	19/8	19/8	0.125		15/32	15/32	Chord	2/4	2	1	1/32		1/32	1	11				1
3	2	5/2	5/2	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	12				
3	2	4	4	0.5		3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	13			articStaccatoAbove	
3	2	5/2	5/2	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	14				
3	2	4	4	0.5		3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	15			articStaccatoAbove	
4	3	9/2	9/2	1.0		0	0	Chord	2/4	1	1	1/4		1/4	1	16			articStaccatoAbove	
4	3	6	6	0.125		3/8	3/8	Chord	2/4	1	1	1/32		1/32	1	17				2
4	3	49/8	49/8	0.125		13/32	13/32	Chord	2/4	1	1	1/32		1/32	1	18				2
4	3	25/4	25/4	0.125		7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	19				2
4	3	51/8	51/8	0.125		15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	20				2
4	3	9/2	9/2	1.0		0	0	Chord	2/4	2	1	1/4		1/4	1	21			articStaccatoAbove	
4	3	6	6	0.125		3/8	3/8	Chord	2/4	2	1	1/32		1/32	1	22				3
4	3	49/8	49/8	0.125		13/32	13/32	Chord	2/4	2	1	1/32		1/32	1	23				3
