mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	1/2	3/4	2	1		A.I{		A	I		I	I						{	M	0	0	0, 4, 1		0	0
4	3	1/4	1/4	3/4	2	1		V43/V		A	I		V43/V	V		43		V			Mm7	0	0	3, 0, 2, 6		2	3
4	3	1/2	1/2	3/4	2	1		V65/V		A	I		V65/V	V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
5	4	0	0	3/4	2	1		V(94)}		A	I		V(94)	V			94			}	M	0	0	1, 0, 2	3	1	1
5	4	1/4	1/4	3/4	2	1		V|HC		A	I		V	V					HC		M	0	0	1, 5, 2		1	1
5	4	1/2	1/2	3/4	2	1		{		A	I									{		0	0				
6	5	0	0	3/4	2	1		V7		A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
9	8	0	0	3/4	2	2		I(974)}		A	I		I(974)	I			974			}	M	0	0	0, -1, 1	2, 5	0	0
9	8	1/4	1/4	3/4	2	2		I|PAC		A	I		I	I					PAC		M	0	0	0, 4, 1		0	0
10	8	0	1/2	3/4	2	1		V{		A	I		V	V						{	M	0	0	1, 5, 2		1	1
11	9	1/2	1/2	3/4	2	1		V2		A	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
12	10	0	0	3/4	2	1		ii6		A	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
12	10	1/2	1/2	3/4	2	1		V/vi		A	I		V/vi	V				vi			M	0	0	4, 8, 5		4	4
13	11	1/4	1/4	3/4	2	1		V7/vi		A	I		V7/vi	V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
14	12	1/4	1/4	3/4	2	1		i/vi|PAC}		A	I		i/vi	i				vi	PAC	}	m	0	0	3, 0, 4		3	3
14	12	1/2	1/2	3/4	2	1		{		A	I									{		0	0				
15	13	1/2	1/2	3/4	2	1		vii.iv6		A	vii		iv6	iv		6					m	0	1	-4, 0, -1		-1	-4
16	14	1/2	1/2	3/4	2	1		V		A	vii		V	V							M	0	1	1, 5, 2		1	1
17	15	1/4	1/4	3/4	2	1		V7		A	vii		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
