mc	mn	onset	label
1	1	0	.c.i
1	1	11/32	i6
1	1	3/8	V64
1	1	15/32	i
1	1	1/2	#viio7/V
1	1	3/4	V\\
2	2	0	viio2
2	2	3/8	V
2	2	15/32	viio43
2	2	1/2	i6(754)
2	2	3/4	i6\\
3	3	0	#viio2/V
3	3	3/8	iio
3	3	15/32	iv43
3	3	3/4	V6
3	3	27/32	iv2
3	3	7/8	iio
3	3	31/32	iv43
4	4	0	#viio43
4	4	1/4	V6
4	4	3/8	V2/iv
4	4	1/2	i6/iv
4	4	3/4	V7/III
5	5	0	I/III
5	5	1/2	IV64/III(7)
5	5	3/4	viio65
5	5	7/8	iv64
6	6	0	viio7
6	6	1/4	V7/III
6	6	1/2	#viio2/ii
6	6	3/4	V/ii
6	6	7/8	#viio43/ii
7	7	0	I6/ii
7	7	1/2	iio65
7	7	3/4	viio6
8	8	0	viio7
8	8	1/4	viio2
8	8	1/2	V7
8	8	3/4	iv6
9	9	0	V7
9	9	1/2	VI\\
10	10	0	i
10	10	3/8	ii65
10	10	1/2	V64
10	10	3/4	V7
11	11	0	i[i
11	11	3/4	viio2/iv
12	12	0	iv6
12	12	1/4	viio/iv
12	12	1/2	iv
12	12	3/4	viio6
13	13	0	i6
13	13	1/4	V6/iv
13	13	3/4	viio2/iv
14	14	0	iv6
14	14	1/4	viio/iv
14	14	1/2	iv
14	14	3/4	viio6
15	15	0	i]
15	15	1/2	V43
16	16	0	i6
16	16	1/2	iio6
17	17	0	V64
17	17	1/2	.Ger6
18	18	0	#viio/V
18	18	1/2	V7
19	19	0	i[i
19	19	3/4	viio2/iv
20	20	0	iv6
20	20	1/4	viio/iv
20	20	1/2	iv
20	20	3/4	viio6
21	21	0	i6
21	21	1/4	V6/iv
21	21	3/4	viio2/iv
22	22	0	iv6
22	22	1/4	viio/iv
22	22	1/2	iv
22	22	3/4	viio6
23	23	0	i]
23	23	1/2	V43
24	24	0	i6
24	24	1/2	iio6
25	25	0	V64
25	25	1/2	.Ger6
26	26	0	#viio7/V
27	27	0	V
28	28	0	V64
29	29	0	V43
30	30	0	i
30	30	1/2	#viio6/V
31	31	0	V
32	32	0	V64
33	33	0	V43
34	34	0	i
34	34	1/2	#viio6/V
35	35	0	V[V
35	35	1/4	#viio/V
35	35	1/2	V
35	35	3/4	#viio/V
36	36	0	V
36	36	1/4	#viio64/V
36	36	1/2	V6
36	36	3/4	#viio/V\\
38	38	0	V65/VI]
39	39	0	VI[VI
39	39	1/4	IV/VI
39	39	1/2	iii/VI
39	39	3/4	viio64/VI
40	40	0	VI6
40	40	1/4	viio/VI
40	40	1/2	VI
40	40	3/4	viio/VI
41	41	0	VI]\\
42	42	0	viio7/bVII
43	43	0	.bVII[bVII
43	43	1/4	viio/bVII
43	43	1/2	.bVII
43	43	3/4	viio64/bVII
44	44	0	.bVII6
44	44	1/4	viio/bVII
44	44	1/2	.bVII
44	44	3/4	viio/bVII
45	45	0	.bVII
45	45	1/2	viio64/bVII
46	46	0	.bVII6
46	46	1/2	viio/bVII
47	47	0	.bVII
47	47	1/2	viio64/bVII
48	48	0	.bVII6
48	48	1/2	viio/bVII
49	49	0	.bVII]
