mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3/4	1	1	.e.i{	e	i		i		i					{	m	1	1	0, -3, 1		0	0
2	2	0	0	3/4	1	1	VI	e	i		VI		VI						M	1	1	-4, 0, -3		-4	-4
3	3	0	0	3/4	1	1	viio7/V	e	i		viio7/V		vii	o	7		V		o7	1	1	6, 3, 0, -3		6	6
4	4	0	0	3/4	1	1	iio6(2)	e	i		iio6(2)		ii	o	6	2			o	1	1	-1, -4, -3		2	-1
4	4	1/4	1/4	3/4	1	1	iio6	e	i		iio6		ii	o	6				o	1	1	-1, -4, 2		2	-1
4	4	1/2	1/2	3/4	1	1	#viio43	e	i		#viio43		#vii	o	43				o7	1	1	-1, -4, 5, 2		5	-1
5	5	0	0	3/4	1	1	i6	e	i		i6		i		6				m	1	1	-3, 1, 0		0	-3
5	5	1/4	1/4	3/4	1	1	V64	e	i		V64		V		64				M	1	1	2, 1, 5		1	2
5	5	1/2	1/2	3/4	1	1	i	e	i		i		i						m	1	1	0, -3, 1		0	0
6	6	0	0	3/4	1	1	V6	e	i		V6		V		6				M	1	1	5, 2, 1		1	5
6	6	1/4	1/4	3/4	1	1	V65	e	i		V65		V		65				Mm7	1	1	5, 2, -1, 1		1	5
6	6	1/2	1/2	3/4	1	1	i	e	i		i		i						m	1	1	0, -3, 1		0	0
7	7	0	0	3/4	1	1	V[V	e	i	V	V		V						M	1	1	1, 5, 2		1	1
7	7	1/2	1/2	3/4	1	1	viio7/V	e	i	V	viio7/V		vii	o	7		V		o7	1	1	6, 3, 0, -3		6	6
8	8	0	0	3/4	1	1	V]	e	i	V	V		V						M	1	1	1, 5, 2		1	1
9	9	0	0	3/4	1	1	i	e	i		i		i						m	1	1	0, -3, 1		0	0
10	10	0	0	3/4	1	1	VI	e	i		VI		VI						M	1	1	-4, 0, -3		-4	-4
11	11	0	0	3/4	1	1	viio7/V	e	i		viio7/V		vii	o	7		V		o7	1	1	6, 3, 0, -3		6	6
12	12	0	0	3/4	1	1	iio6(2)	e	i		iio6(2)		ii	o	6	2			o	1	1	-1, -4, -3		2	-1
12	12	1/4	1/4	3/4	1	1	iio6	e	i		iio6		ii	o	6				o	1	1	-1, -4, 2		2	-1
12	12	1/2	1/2	3/4	1	1	#viio43	e	i		#viio43		#vii	o	43				o7	1	1	-1, -4, 5, 2		5	-1
13	13	0	0	3/4	1	1	i6	e	i		i6		i		6				m	1	1	-3, 1, 0		0	-3
13	13	1/4	1/4	3/4	1	1	V64	e	i		V64		V		64				M	1	1	2, 1, 5		1	2
13	13	1/2	1/2	3/4	1	1	i	e	i		i		i						m	1	1	0, -3, 1		0	0
14	14	0	0	3/4	1	1	V6	e	i		V6		V		6				M	1	1	5, 2, 1		1	5
14	14	1/4	1/4	3/4	1	1	V65	e	i		V65		V		65				Mm7	1	1	5, 2, -1, 1		1	5
14	14	1/2	1/2	3/4	1	1	i	e	i		i		i						m	1	1	0, -3, 1		0	0
15	15	0	0	3/4	1	1	V(64)	e	i		V(64)		V			64			M	1	1	1, 0, -3		1	1
15	15	1/2	1/2	3/4	1	1	V7	e	i		V7		V		7				Mm7	1	1	1, 5, 2, -1		1	1
16	16	0	0	3/4	1	1	i}	e	i		i		i					}	m	1	1	0, -3, 1		0	0
17	17	0	0	3/4	1	1	I/VI{	e	i		I/VI		I				VI	{	M	1	1	-4, 0, -3		-4	-4
18	18	0	0	3/4	1	1	V/VI	e	i		V/VI		V				VI		M	1	1	-3, 1, -2		-3	-3
19	19	0	0	3/4	1	1	ii/VI	e	i		ii/VI		ii				VI		m	1	1	-2, -5, -1		-2	-2
20	20	0	0	3/4	1	1	V6/VI	e	i		V6/VI		V		6		VI		M	1	1	1, -2, -3		-3	1
21	21	0	0	3/4	1	1	I/VI	e	i		I/VI		I				VI		M	1	1	-4, 0, -3		-4	-4
22	22	0	0	3/4	1	1	V/VI	e	i		V/VI		V				VI		M	1	1	-3, 1, -2		-3	-3
23	23	0	0	3/4	1	1	V(4)/V/VI	e	i		V(4)/V/VI		V			4	V/VI		M	1	1	-2, -3, -1		-2	-2
23	23	1/2	1/2	3/4	1	1	V/V/VI	e	i		V/V/VI		V				V/VI		M	1	1	-2, 2, -1		-2	-2
24	24	0	0	3/4	1	1	V/VI	e	i		V/VI		V				VI		M	1	1	-3, 1, -2		-3	-3
25	25	0	0	3/4	1	1	I/VI	e	i		I/VI		I				VI		M	1	1	-4, 0, -3		-4	-4
26	26	0	0	3/4	1	1	V/VI	e	i		V/VI		V				VI		M	1	1	-3, 1, -2		-3	-3
27	27	0	0	3/4	1	1	ii/VI	e	i		ii/VI		ii				VI		m	1	1	-2, -5, -1		-2	-2
28	28	0	0	3/4	1	1	V6/VI	e	i		V6/VI		V		6		VI		M	1	1	1, -2, -3		-3	1
29	29	0	0	3/4	1	1	I/VI	e	i		I/VI		I				VI		M	1	1	-4, 0, -3		-4	-4
30	30	0	0	3/4	1	1	.It6	e	i		It6	It	vii	o	6	b3	V		M	1	1	-4, 0, 6		6	-4
31	31	0	0	3/4	1	1	V(4)}	e	i		V(4)		V			4		}	M	1	1	1, 0, 2		1	1
31	31	1/2	1/2	3/4	1	1	V	e	i		V		V						M	1	1	1, 5, 2		1	1
32	32	1/2	1/2	3/4	1	1	{	e	i									{		1	1				
33	33	0	0	3/4	1	1	i	e	i		i		i						m	1	1	0, -3, 1		0	0
34	34	0	0	3/4	1	1	VI	e	i		VI		VI						M	1	1	-4, 0, -3		-4	-4
35	35	0	0	3/4	1	1	viio7/V	e	i		viio7/V		vii	o	7		V		o7	1	1	6, 3, 0, -3		6	6
36	36	0	0	3/4	1	1	iio6(2)	e	i		iio6(2)		ii	o	6	2			o	1	1	-1, -4, -3		2	-1
36	36	1/4	1/4	3/4	1	1	iio6	e	i		iio6		ii	o	6				o	1	1	-1, -4, 2		2	-1
36	36	1/2	1/2	3/4	1	1	#viio43	e	i		#viio43		#vii	o	43				o7	1	1	-1, -4, 5, 2		5	-1
37	37	0	0	3/4	1	1	i6	e	i		i6		i		6				m	1	1	-3, 1, 0		0	-3
37	37	1/4	1/4	3/4	1	1	V64	e	i		V64		V		64				M	1	1	2, 1, 5		1	2
37	37	1/2	1/2	3/4	1	1	i	e	i		i		i						m	1	1	0, -3, 1		0	0
38	38	0	0	3/4	1	1	V6	e	i		V6		V		6				M	1	1	5, 2, 1		1	5
38	38	1/4	1/4	3/4	1	1	V65	e	i		V65		V		65				Mm7	1	1	5, 2, -1, 1		1	5
38	38	1/2	1/2	3/4	1	1	i	e	i		i		i						m	1	1	0, -3, 1		0	0
39	39	0	0	3/4	1	1	V[V	e	i	V	V		V						M	1	1	1, 5, 2		1	1
39	39	1/2	1/2	3/4	1	1	viio7/V	e	i	V	viio7/V		vii	o	7		V		o7	1	1	6, 3, 0, -3		6	6
40	40	0	0	3/4	1	1	V]	e	i	V	V		V						M	1	1	1, 5, 2		1	1
41	41	0	0	3/4	1	1	i	e	i		i		i						m	1	1	0, -3, 1		0	0
42	42	0	0	3/4	1	1	VI	e	i		VI		VI						M	1	1	-4, 0, -3		-4	-4
43	43	0	0	3/4	1	1	iio6(2)/iv	e	i		iio6(2)/iv		ii	o	6	2	iv		o	1	1	-2, -5, -4		1	-2
44	44	1/4	1/4	3/4	1	1	iio6/iv	e	i		iio6/iv		ii	o	6		iv		o	1	1	-2, -5, 1		1	-2
44	44	1/2	1/2	3/4	1	1	#viio43/iv	e	i		#viio43/iv		#vii	o	43		iv		o7	1	1	-2, -5, 4, 1		4	-2
45	45	0	0	3/4	1	1	iv6	e	i		iv6		iv		6				m	1	1	-4, 0, -1		-1	-4
45	45	1/4	1/4	3/4	1	1	#viio43/iv	e	i		#viio43/iv		#vii	o	43		iv		o7	1	1	-2, -5, 4, 1		4	-2
46	46	0	0	3/4	1	1	iv6	e	i		iv6		iv		6				m	1	1	-4, 0, -1		-1	-4
46	46	1/4	1/4	3/4	1	1	#viio43/iv	e	i		#viio43/iv		#vii	o	43		iv		o7	1	1	-2, -5, 4, 1		4	-2
47	47	0	0	3/4	1	1	iv6	e	i		iv6		iv		6				m	1	1	-4, 0, -1		-1	-4
48	48	1/2	1/2	3/4	1	1	iv	e	i		iv		iv						m	1	1	-1, -4, 0		-1	-1
