mc	mn	onset	label	alt_label	globalkey	localkey	pedal	chord	numeral	special	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	.C.I[I		C	I	I	I	I							M	0	0	0, 4, 1		0	0
3	3	0	V2		C	I	I	V2	V			2				Mm7	0	0	-1, 1, 5, 2		1	-1
4	4	0	I		C	I	I	I	I							M	0	0	0, 4, 1		0	0
7	7	0	V2		C	I	I	V2	V			2				Mm7	0	0	-1, 1, 5, 2		1	-1
8	8	0	I]		C	I	I	I	I							M	0	0	0, 4, 1		0	0
9	9	0	V		C	I		V	V							M	0	0	1, 5, 2		1	1
9	9	1/4	V7		C	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
11	11	0	V(64)		C	I		V(64)	V				64			M	0	0	1, 0, 4		1	1
12	12	0	V		C	I		V	V							M	0	0	1, 5, 2		1	1
13	13	1/4	V7		C	I		V7	V			7				Mm7	0	0	1, 5, 2, -1		1	1
15	15	0	V(b64)		C	I		V(b64)	V				b64			M	0	0	1, 0, -3		1	1
16	16	0	V		C	I		V	V							M	0	0	1, 5, 2		1	1
17	17	0	V(64)		C	I		V(64)	V				64			M	0	0	1, 0, 4		1	1
18	18	0	V		C	I		V	V							M	0	0	1, 5, 2		1	1
19	19	0	V(b64)		C	I		V(b64)	V				b64			M	0	0	1, 0, -3		1	1
20	20	0	V		C	I		V	V							M	0	0	1, 5, 2		1	1
20	20	1/4	V(b64)		C	I		V(b64)	V				b64			M	0	0	1, 0, -3		1	1
21	21	0	V		C	I		V	V							M	0	0	1, 5, 2		1	1
21	21	1/4	V(b64)		C	I		V(b64)	V				b64			M	0	0	1, 0, -3		1	1
22	22	0	V		C	I		V	V							M	0	0	1, 5, 2		1	1
22	22	1/4	V(94)		C	I		V(94)	V				94			M	0	0	1, 0, 2	3	1	1
23	23	0	V\\		C	I		V	V						\\	M	0	0	1, 5, 2		1	1
23	23	3/8	viio/V		C	I		viio/V	vii		o			V		o	0	0	6, 3, 0		6	6
24	24	0	V6		C	I		V6	V			6				M	0	0	5, 2, 1		1	5
24	24	3/8	viio6/V		C	I		viio6/V	vii		o	6		V		o	0	0	3, 0, 6		6	3
25	25	0	V		C	I		V	V							M	0	0	1, 5, 2		1	1
25	25	3/8	viio/V		C	I		viio/V	vii		o			V		o	0	0	6, 3, 0		6	6
26	26	0	V		C	I		V	V							M	0	0	1, 5, 2		1	1
26	26	1/8	viio6/V		C	I		viio6/V	vii		o	6		V		o	0	0	3, 0, 6		6	3
26	26	1/4	V6		C	I		V6	V			6				M	0	0	5, 2, 1		1	5
26	26	3/8	V6/ii		C	I		V6/ii	V			6		ii		M	0	0	7, 4, 3		3	7
27	27	0	viio6		C	I		viio6	vii		o	6				o	0	0	2, -1, 5		5	2
