mc	mn	onset	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1/4	.E.I	E	I		I	I						M	0	0	0, 4, 1		0	0
2	2	0	V6	E	I		V6	V		6				M	0	0	5, 2, 1		1	5
2	2	1/4	vi	E	I		vi	vi						m	0	0	3, 0, 4		3	3
3	3	0	iii6	E	I		iii6	iii		6				m	0	0	1, 5, 4		4	1
3	3	1/4	IV	E	I		IV	IV						M	0	0	-1, 3, 0		-1	-1
4	4	0	I6	E	I		I6	I		6				M	0	0	4, 1, 0		0	4
4	4	1/4	V7	E	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
5	5	0	I\\	E	I		I	I					\\	M	0	0	0, 4, 1		0	0
6	6	0	V6	E	I		V6	V		6				M	0	0	5, 2, 1		1	5
6	6	1/4	V43/V	E	I		V43/V	V		43		V		Mm7	0	0	3, 0, 2, 6		2	3
7	7	0	V	E	I		V	V						M	0	0	1, 5, 2		1	1
7	7	1/4	V(64)/V	E	I		V(64)/V	V			64	V		M	0	0	2, 1, 5		2	2
8	8	0	IV6/V	E	I		IV6/V	IV		6		V		M	0	0	4, 1, 0		0	4
8	8	1/4	IV/V	E	I		IV/V	IV				V		M	0	0	0, 4, 1		0	0
9	9	0	V(64)/V	E	I		V(64)/V	V			64	V		M	0	0	2, 1, 5		2	2
9	9	1/4	V/V	E	I		V/V	V				V		M	0	0	2, 6, 3		2	2
10	10	0	#viio2/vi	E	I		#viio2/vi	#vii	o	2		vi		o7	0	0	-1, 8, 5, 2		8	-1
10	10	1/8	#viio43/vi	E	I		#viio43/vi	#vii	o	43		vi		o7	0	0	2, -1, 8, 5		8	2
10	10	3/8	#viio7/vi	E	I		#viio7/vi	#vii	o	7		vi		o7	0	0	8, 5, 2, -1		8	8
10	10	1/2	vi	E	I		vi	vi						m	0	0	3, 0, 4		3	3
10	10	9/16	#viio43/vi	E	I		#viio43/vi	#vii	o	43		vi		o7	0	0	2, -1, 8, 5		8	2
10	10	5/8	vi6	E	I		vi6	vi		6				m	0	0	0, 4, 3		3	0
10	10	11/16	V43/vi	E	I		V43/vi	V		43		vi		Mm7	0	0	5, 2, 4, 8		4	5
11	11	0	vi6(#4)	E	I		vi6(#4)	vi		6	#4			m	0	0	0, 9, 3		3	0
11	11	1/8	vi6	E	I		vi6	vi		6				m	0	0	0, 4, 3		3	0
11	11	3/8	viio7/V	E	I		viio7/V	vii	o	7		V		o7	0	0	6, 3, 0, -3		6	6
11	11	1/2	V	E	I		V	V						M	0	0	1, 5, 2		1	1
11	11	9/16	V65/V	E	I		V65/V	V		65		V		Mm7	0	0	6, 3, 0, 2		2	6
11	11	5/8	V	E	I		V	V						M	0	0	1, 5, 2		1	1
11	11	11/16	IV6/V	E	I		IV6/V	IV		6		V		M	0	0	4, 1, 0		0	4
12	12	0	V6	E	I		V6	V		6				M	0	0	5, 2, 1		1	5
12	12	1/8	IV6/V	E	I		IV6/V	IV		6		V		M	0	0	4, 1, 0		0	4
12	12	1/4	V(64)/V	E	I		V(64)/V	V			64	V		M	0	0	2, 1, 5		2	2
12	12	1/2	V/V	E	I		V/V	V				V		M	0	0	2, 6, 3		2	2
