mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	1	1	.ab.ii[ii{		ab	i	ii	ii	ii					{	m	1	1	2, -1, 3		2	2
1	1	1/4	1/4	4/4	1	1	ii6/ii		ab	i	ii	ii6/ii	ii		6		ii		m	1	1	1, 5, 4		4	1
1	1	3/8	3/8	4/4	1	1	#viio65/ii		ab	i	ii	#viio65/ii	#vii	o	65		ii		o7	1	1	4, 1, -2, 7		7	4
1	1	1/2	1/2	4/4	1	1	ii		ab	i	ii	ii	ii						m	1	1	2, -1, 3		2	2
1	1	5/8	5/8	4/4	1	1	V/v		ab	i	ii	V/v	V				v		M	1	1	2, 6, 3		2	2
1	1	3/4	3/4	4/4	1	1	v(4)		ab	i	ii	v(4)	v			4			m	1	1	1, 0, 2		1	1
1	1	7/8	7/8	4/4	1	1	v]		ab	i	ii	v	v						m	1	1	1, -2, 2		1	1
2	2	0	0	4/4	1	1	III		ab	i		III	III						M	1	1	-3, 1, -2		-3	-3
2	2	1/4	1/4	4/4	1	1	IV/III		ab	i		IV/III	IV				III		M	1	1	-4, 0, -3		-4	-4
2	2	1/2	1/2	4/4	1	1	V(4)/III		ab	i		V(4)/III	V			4	III		M	1	1	-2, -3, -1		-2	-2
2	2	3/4	3/4	4/4	1	1	V7/III		ab	i		V7/III	V		7		III		Mm7	1	1	-2, 2, -1, -4		-2	-2
3	3	0	0	4/4	1	1	V65		ab	i		V65	V		65				Mm7	1	1	5, 2, -1, 1		1	5
3	3	1/8	1/8	4/4	1	1	i		ab	i		i	i						m	1	1	0, -3, 1		0	0
3	3	1/4	1/4	4/4	1	1	ii%65		ab	i		ii%65	ii	%	65				%7	1	1	-1, -4, 0, 2		2	-1
3	3	1/2	1/2	4/4	1	1	V(4)		ab	i		V(4)	V			4			M	1	1	1, 0, 2		1	1
3	3	3/4	3/4	4/4	1	1	V		ab	i		V	V						M	1	1	1, 5, 2		1	1
4	4	0	0	4/4	1	1	V7		ab	i		V7	V		7				Mm7	1	1	1, 5, 2, -1		1	1
4	4	5/4	5/4	4/4	1	1	i(11)}		ab	i		i(11)	i			11		}	m	1	1	0, -3, 1	-1	0	0
4	4	21/16	21/16	4/4	1	1	i		ab	i		i	i						m	1	1	0, -3, 1		0	0
4	4	11/8	11/8	4/4	1	1	VI{		ab	i		VI	VI					{	M	1	1	-4, 0, -3		-4	-4
4	4	3/2	3/2	4/4	1	1	IV6/VI		ab	i		IV6/VI	IV		6		VI		M	1	1	-1, -4, -5		-5	-1
4	4	13/8	13/8	4/4	1	1	V7/VI		ab	i		V7/VI	V		7		VI		Mm7	1	1	-3, 1, -2, -5		-3	-3
5	5	0	0	4/4	1	1	V7/#V		ab	i		V7/#V	V		7		#V		Mm7	1	1	9, 13, 10, 7		9	9
6	6	0	0	4/4	1	1	#V		ab	i		#V	#V						M	1	1	8, 12, 9		8	8
6	6	1/4	1/4	4/4	1	1	#viio2/#vi		ab	i		#viio2/#vi	#vii	o	2		#vi		o7	1	1	-1, 8, 5, 2		8	-1
7	6	0	1/4	4/4	1	1	viio7/V		ab	i		viio7/V	vii	o	7		V		o7	1	1	6, 3, 0, -3		6	6
7	6	1/2	3/4	4/4	1	1	#viio		ab	i		#viio	#vii	o					o	1	1	5, 2, -1		5	5
8	6	0	0	4/4	1	1	i		ab	i		i	i						m	1	1	0, -3, 1		0	0
8	6	1/8	1/8	4/4	1	1	V}		ab	i		V	V					}	M	1	1	1, 5, 2		1	1
10	8	0	0	12/16	1	1	i6		ab	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
10	8	3/8	3/8	12/16	1	1	i		ab	i		i	i						m	1	1	0, -3, 1		0	0
11	9	0	0	12/16	1	1	{		ab	i								{		1	1				
11	9	5/16	5/16	12/16	1	1	i(11)		ab	i		i(11)	i			11			m	1	1	0, -3, 1	-1	0	0
11	9	1/2	1/2	12/16	1	1	i		ab	i		i	i						m	1	1	0, -3, 1		0	0
12	10	0	0	12/16	1	1	V43(4)		ab	i		V43(4)	V		43	4			Mm7	1	1	2, -1, 1, 0		1	2
12	10	3/16	3/16	12/16	1	1	V43		ab	i		V43	V		43				Mm7	1	1	2, -1, 1, 5		1	2
12	10	1/2	1/2	12/16	1	1	V43(9)		ab	i		V43(9)	V		43	9			Mm7	1	1	2, -1, 1, 5	-4	1	2
12	10	11/16	11/16	12/16	1	1	V43		ab	i		V43	V		43				Mm7	1	1	2, -1, 1, 5		1	2
13	11	0	0	12/16	1	1	i6		ab	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
13	11	1/8	1/8	12/16	1	1	i		ab	i		i	i						m	1	1	0, -3, 1		0	0
13	11	3/16	3/16	12/16	1	1	V6/iv		ab	i		V6/iv	V		6		iv		M	1	1	4, 1, 0		0	4
13	11	5/16	5/16	12/16	1	1	V65/iv		ab	i		V65/iv	V		65		iv		Mm7	1	1	4, 1, -2, 0		0	4
13	11	3/8	3/8	12/16	1	1	iv(11)		ab	i		iv(11)	iv			11			m	1	1	-1, -4, 0	-2	-1	-1
13	11	1/2	1/2	12/16	1	1	iv		ab	i		iv	iv						m	1	1	-1, -4, 0		-1	-1
13	11	9/16	9/16	12/16	1	1	iv6(9)		ab	i		iv6(9)	iv		6	9			m	1	1	-4, 0, -1	1	-1	-4
13	11	11/16	11/16	12/16	1	1	iv6		ab	i		iv6	iv		6				m	1	1	-4, 0, -1		-1	-4
14	12	0	0	12/16	1	1	V(64)		ab	i		V(64)	V			64			M	1	1	1, 0, -3		1	1
14	12	3/8	3/8	12/16	1	1	V}		ab	i		V	V					}	M	1	1	1, 5, 2		1	1
14	12	9/16	9/16	12/16	1	1	V2		ab	i		V2	V		2				Mm7	1	1	-1, 1, 5, 2		1	-1
14	12	5/8	5/8	12/16	1	1	i6		ab	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
14	12	11/16	11/16	12/16	1	1	V43		ab	i		V43	V		43				Mm7	1	1	2, -1, 1, 5		1	2
15	13	0	0	12/16	1	1	i{		ab	i		i	i					{	m	1	1	0, -3, 1		0	0
15	13	3/8	3/8	12/16	1	1	V7(4)/III		ab	i		V7(4)/III	V		7	4	III		Mm7	1	1	-2, -3, -1, -4		-2	-2
15	13	9/16	9/16	12/16	1	1	V7/III		ab	i		V7/III	V		7		III		Mm7	1	1	-2, 2, -1, -4		-2	-2
16	14	0	0	12/16	1	1	III64		ab	i		III64	III		64				M	1	1	-2, -3, 1		-3	-2
16	14	3/16	3/16	12/16	1	1	III		ab	i		III	III						M	1	1	-3, 1, -2		-3	-3
16	14	3/8	3/8	12/16	1	1	viio6(2)/III		ab	i		viio6(2)/III	vii	o	6	2	III		o	1	1	-1, -4, -3		2	-1
16	14	9/16	9/16	12/16	1	1	vii%65/III		ab	i		vii%65/III	vii	%	65		III		%7	1	1	-1, -4, 0, 2		2	-1
17	15	0	0	12/16	1	1	III6		ab	i		III6	III		6				M	1	1	1, -2, -3		-3	1
17	15	3/16	3/16	12/16	1	1	IV/III		ab	i		IV/III	IV				III		M	1	1	-4, 0, -3		-4	-4
17	15	3/8	3/8	12/16	1	1	V(964)/III		ab	i		V(964)/III	V			964	III		M	1	1	-2, -3, 1	0	-2	-2
17	15	1/2	1/2	12/16	1	1	V(64)/III		ab	i		V(64)/III	V			64	III		M	1	1	-2, -3, 1		-2	-2
