mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0	1.5	0	3/8	9/16	2	1		C.I{		C	I		I		I						{	M	0	0	0, 4, 1		0	0
2	1	3/2	3/2	0.75	3/16	3/16	9/16	2	1		V43		C	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
2	1	9/4	9/4	1.5	3/8	3/8	9/16	2	1		V6		C	I		V6		V		6					M	0	0	5, 2, 1		1	5
3	2	15/4	15/4	0.75	3/16	3/16	9/16	2	1		I		C	I		I		I							M	0	0	0, 4, 1		0	0
3	2	9/2	9/2	0.75	3/8	3/8	9/16	2	1		V43		C	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
4	3	21/4	21/4	0.75	0	0	9/16	2	1		I6		C	I		I6		I		6					M	0	0	4, 1, 0		0	4
4	3	6	6	0.75	3/16	3/16	9/16	2	1		I		C	I		I		I							M	0	0	0, 4, 1		0	0
4	3	27/4	27/4	0.75	3/8	3/8	9/16	2	1		I6		C	I		I6		I		6					M	0	0	4, 1, 0		0	4
5	4	15/2	15/2	0.75	0	0	9/16	2	1		V(64)		C	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
5	4	33/4	33/4	1.25	3/16	3/16	9/16	2	1		V		C	I		V		V							M	0	0	1, 5, 2		1	1
5	4	19/2	19/2	0.25	1/2	1/2	9/16	2	1		V2		C	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
6	5	39/4	39/4	2.25	0	0	9/16	2	1		I6		C	I		I6		I		6					M	0	0	4, 1, 0		0	4
7	6	12	12	0.75	0	0	9/16	2	1		ii(4)		C	I		ii(4)		ii			4				m	0	0	2, 1, 3		2	2
7	6	51/4	51/4	0.75	3/16	3/16	9/16	2	1		ii		C	I		ii		ii							m	0	0	2, -1, 3		2	2
7	6	27/2	27/2	0.5	3/8	3/8	9/16	2	1		ii6		C	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
7	6	14	14	0.25	1/2	1/2	9/16	2	1		V65/V		C	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
8	7	57/4	57/4	0.75	0	0	9/16	2	1		V[V		C	I	V	V		V							M	0	0	1, 5, 2		1	1
8	7	15	15	0.75	3/16	3/16	9/16	2	1		vi7		C	I	V	vi7		vi		7					mm7	0	0	3, 0, 4, 1		3	3
8	7	63/4	63/4	1.25	3/8	3/8	9/16	2	1		V6]		C	I	V	V6		V		6					M	0	0	5, 2, 1		1	5
9	8		33/2		0	0	9/16	2	1	1	V6|HC}		C	I		V6		V		6			HC	}	M	0	0	5, 2, 1		1	5
9	8		69/4		3/16	3/16	9/16	2	1	1	I		C	I		I		I							M	0	0	0, 4, 1		0	0
9	8		71/4		5/16	5/16	9/16	2	1	1	V43		C	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
10	8	17	37/2	0.25	1/8	1/8	9/16	2	1	2	I		C	I		I		I							M	0	0	0, 4, 1		0	0
10	8	69/4	75/4	0.5	3/16	3/16	9/16	2	1	2	V43		C	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
10	8	71/4	77/4	0.25	5/16	5/16	9/16	2	1	2	I|IAC}		C	I		I		I					IAC	}	M	0	0	0, 4, 1		0	0
10	8	18	39/2	0.75	3/8	3/8	9/16	2	1	2	I6{	V/vi{	C	I		I6		I		6				{	M	0	0	4, 1, 0		0	4
11	9	75/4	81/4	2.25	0	0	9/16	2	1		vi		C	I		vi		vi							m	0	0	3, 0, 4		3	3
12	10	21	45/2	3.0	0	0	9/16	2	1		V6/vi		C	I		V6/vi		V		6		vi			M	0	0	8, 5, 4		4	8
13	11	24	51/2	0.75	3/16	3/16	9/16	2	1		vi		C	I		vi		vi							m	0	0	3, 0, 4		3	3
13	11	99/4	105/4	0.5	3/8	3/8	9/16	2	1		vi(94)		C	I		vi(94)		vi			94				m	0	0	3, 2, 4	5	3	3
13	11	101/4	107/4	0.25	1/2	1/2	9/16	2	1		vi		C	I		vi		vi							m	0	0	3, 0, 4		3	3
14	12	51/2	27	0.75	0	0	9/16	2	1		V(64)/vi		C	I		V(64)/vi		V			64	vi			M	0	0	4, 3, 0		4	4
14	12	105/4	111/4	0.75	3/16	3/16	9/16	2	1		V/vi		C	I		V/vi		V				vi			M	0	0	4, 8, 5		4	4
14	12	27	57/2	0.75	3/8	3/8	9/16	2	1		vi		C	I		vi		vi							m	0	0	3, 0, 4		3	3
15	13	111/4	117/4	2.25	0	0	9/16	2	1		V		C	I		V		V							M	0	0	1, 5, 2		1	1
16	14	30	63/2	1.5	0	0	9/16	2	1		I		C	I		I		I							M	0	0	0, 4, 1		0	0
16	14	63/2	33	0.75	3/8	3/8	9/16	2	1		IV		C	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
17	15	129/4	135/4	2.75	0	0	9/16	2	1		V		C	I		V		V							M	0	0	1, 5, 2		1	1
18	16		73/2		1/8	1/8	9/16	2	1	1	I|IAC}		C	I		I		I					IAC	}	M	0	0	0, 4, 1		0	0
18	16		75/2		3/8	3/8	9/16	2	1	1	I6{	V/vi{	C	I		I6		I		6				{	M	0	0	4, 1, 0		0	4
19	16	35	155/4	1.75	1/8	1/8	9/16	2	1	2	I|IAC}		C	I		I		I					IAC	}	M	0	0	0, 4, 1		0	0
19	16	36	159/4	0.0	3/8	3/8	9/16	2	1	2	{		C	I										{		0	0				
20	17	147/4	81/2	0.75	0	0	9/16	2	1		V65/ii		C	I		V65/ii		V		65		ii			Mm7	0	0	7, 4, 1, 3		3	7
