mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	0.5	2	4/4	1/8	7/8		1			firstMeasure	2
2	1	1/2	4.0	2	4/4	1	0						3
3	2	9/2	4.0	2	4/4	1	0						4
4	3	17/2	4.0	2	4/4	1	0						5
5	4	25/2	4.0	2	4/4	1	0						6
6	5	33/2	4.0	2	4/4	1	0						7
7	6	41/2	4.0	2	4/4	1	0						8
8	7	49/2	4.0	2	4/4	1	0						9
9	8	57/2	4.0	2	4/4	1	0						10
10	9	65/2	4.0	2	4/4	1	0						11
11	10	73/2	4.0	2	4/4	1	0						12
12	11	81/2	4.0	2	4/4	1	0						13
13	12	89/2	4.0	2	4/4	1	0						14
14	13	97/2	4.0	2	4/4	1	0						15
15	14	105/2	4.0	2	4/4	1	0						16
16	15	113/2	4.0	2	4/4	1	0						17
17	16	121/2	4.0	2	4/4	1	0						18
18	17	129/2	4.0	2	4/4	1	0						19
19	18	137/2	4.0	2	4/4	1	0						20
20	19	145/2	4.0	2	4/4	1	0						21
21	20	153/2	4.0	2	4/4	1	0						22
22	21	161/2	4.0	2	4/4	1	0						23
23	22	169/2	4.0	2	4/4	1	0						24
24	23	177/2	4.0	2	4/4	1	0						25
25	24	185/2	4.0	2	4/4	1	0						26
26	25	193/2	4.0	2	4/4	1	0						27
27	26	201/2	4.0	2	4/4	1	0						28
28	27	209/2	4.0	2	4/4	1	0						29
29	28	217/2	4.0	2	4/4	1	0						30
30	29	225/2	4.0	2	4/4	1	0						31
31	30	233/2	4.0	2	4/4	1	0						32
32	31	241/2	4.0	2	4/4	1	0						33
33	32	249/2	4.0	2	4/4	1	0						34
34	33	257/2	4.0	2	4/4	1	0						35
35	34	265/2	4.0	2	4/4	1	0						36
36	35	273/2	4.0	0	4/4	1	0						37
37	36	281/2	4.0	0	4/4	1	0						38
38	37	289/2	4.0	0	4/4	1	0						39
39	38	297/2	4.0	0	4/4	1	0						40
40	39	305/2	4.0	0	4/4	1	0						41
41	40	313/2	4.0	0	4/4	1	0						42
42	41	321/2	4.0	0	4/4	1	0						43
43	42	329/2	4.0	0	4/4	1	0						44
44	43	337/2	4.0	0	4/4	1	0						45
45	44	345/2	4.0	0	4/4	1	0						46
46	45	353/2	4.0	0	4/4	1	0						47
47	46	361/2	4.0	0	4/4	1	0						48
48	47	369/2	4.0	0	4/4	1	0						49
49	48	377/2	4.0	0	4/4	1	0						50
50	49	385/2	4.0	0	4/4	1	0						51
51	50	393/2	4.0	0	4/4	1	0						52
52	51	401/2	4.0	0	4/4	1	0						53
53	52	409/2	4.0	0	4/4	1	0						54
54	53	417/2	4.0	0	4/4	1	0						55
55	54	425/2	4.0	0	4/4	1	0						56
56	55	433/2	3.5	0	4/4	7/8	0						57
57	55	220	0.5	2	4/4	1/8	7/8		1				58
58	56	441/2	4.0	2	4/4	1	0						59
59	57	449/2	4.0	2	4/4	1	0						60
60	58	457/2	4.0	2	4/4	1	0						61
61	59	465/2	4.0	2	4/4	1	0						62
62	60	473/2	4.0	2	4/4	1	0						63
63	61	481/2	4.0	2	4/4	1	0						64
64	62	489/2	4.0	2	4/4	1	0						65
65	63	497/2	4.0	2	4/4	1	0						66
66	64	505/2	4.0	2	4/4	1	0						67
67	65	513/2	4.0	2	4/4	1	0						68
68	66	521/2	4.0	2	4/4	1	0						69
69	67	529/2	4.0	2	4/4	1	0						70
70	68	537/2	4.0	2	4/4	1	0						71
71	69	545/2	4.0	2	4/4	1	0						72
72	70	553/2	4.0	2	4/4	1	0						73
73	71	561/2	4.0	2	4/4	1	0						74
74	72	569/2	4.0	2	4/4	1	0						75
75	73	577/2	4.0	2	4/4	1	0						76
76	74	585/2	4.0	2	4/4	1	0						77
77	75	593/2	4.0	2	4/4	1	0						78
78	76	601/2	4.0	2	4/4	1	0						79
79	77	609/2	4.0	2	4/4	1	0						80
80	78	617/2	4.0	2	4/4	1	0						81
81	79	625/2	4.0	2	4/4	1	0						82
82	80	633/2	4.0	2	4/4	1	0						83
83	81	641/2	4.0	2	4/4	1	0						84
84	82	649/2	4.0	2	4/4	1	0						85
85	83	657/2	4.0	2	4/4	1	0						86
86	84	665/2	4.0	2	4/4	1	0						87
87	85	673/2	4.0	2	4/4	1	0						88
88	86	681/2	4.0	2	4/4	1	0						89
89	87	689/2	4.0	2	4/4	1	0						90
90	88	697/2	4.0	2	4/4	1	0						91
91	89	705/2	4.0	2	4/4	1	0						92
92	90	713/2	4.0	2	4/4	1	0						93
93	91	721/2	4.0	2	4/4	1	0						94
94	92	729/2	4.0	2	4/4	1	0						95
95	93	737/2	4.0	2	4/4	1	0						96
96	94	745/2	4.0	2	4/4	1	0						97
97	95	753/2	4.0	2	4/4	1	0						98
98	96	761/2	4.0	2	4/4	1	0						99
99	97	769/2	4.0	2	4/4	1	0						100
100	98	777/2	4.0	2	4/4	1	0						101
101	99	785/2	4.0	2	4/4	1	0						102
102	100	793/2	4.0	2	4/4	1	0						103
