mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	0	1.0	-3	3/4	1/4	1/2			1			firstMeasure	2
2	1	1	1	3.0	-3	3/4	3/4	0							3
3	2	4	4	3.0	-3	3/4	3/4	0						start	4
4	3	7	7	3.0	-3	3/4	3/4	0							5
5	4	10	10	3.0	-3	3/4	3/4	0							6
6	5	13	13	3.0	-3	3/4	3/4	0							7
7	6	16	16	3.0	-3	3/4	3/4	0							8
8	7	19	19	3.0	-3	3/4	3/4	0							9, 11
9	8		22	3.0	-3	3/4	3/4	0	1						10
10	8		25	3.0	-3	3/4	3/4	0	1		1			end	3
11	8	22	28	3.0	-3	3/4	3/4	0	2		1				12
12	9	25	31	3.0	-3	3/4	3/4	0						start	13
13	10	28	34	3.0	-3	3/4	3/4	0							14
14	11	31	37	3.0	-3	3/4	3/4	0							15
15	12	34	40	3.0	-3	3/4	3/4	0							16
16	13	37	43	3.0	-3	3/4	3/4	0							17
17	14	40	46	3.0	-3	3/4	3/4	0							18
18	15	43	49	3.0	-3	3/4	3/4	0							19, 20
19	16		52	3.0	-3	3/4	3/4	0	1					end	12
20	16	46	55	2.0	-3	3/4	1/2	0	2		1				21
21	16	48	57	1.0	-3	3/4	1/4	1/2			1			start	22
22	17	49	58	3.0	-3	3/4	3/4	0							23
23	18	52	61	3.0	-3	3/4	3/4	0							24
24	19	55	64	3.0	-3	3/4	3/4	0							25
25	20	58	67	3.0	-3	3/4	3/4	0							26
26	21	61	70	3.0	-3	3/4	3/4	0							27
27	22	64	73	3.0	-3	3/4	3/4	0							28
28	23	67	76	3.0	-3	3/4	3/4	0							29
29	24	70	79	2.0	-3	3/4	1/2	0						end	21, 30
30	24	72	81	1.0	-3	3/4	1/4	1/2			1				31
31	25	73	82	3.0	-3	3/4	3/4	0							32
32	26	76	85	3.0	-3	3/4	3/4	0							33
33	27	79	88	3.0	-3	3/4	3/4	0							34
34	28	82	91	3.0	-3	3/4	3/4	0							35
35	29	85	94	3.0	-3	3/4	3/4	0							36
36	30	88	97	3.0	-3	3/4	3/4	0							37
37	31	91	100	3.0	-3	3/4	3/4	0							38
38	32	94	103	3.0	-3	3/4	3/4	0							39
39	33	97	106	3.0	-3	3/4	3/4	0							40
40	34	100	109	3.0	-3	3/4	3/4	0							41
41	35	103	112	3.0	-3	3/4	3/4	0							42
42	36	106	115	3.0	-3	3/4	3/4	0							43
43	37	109	118	3.0	-3	3/4	3/4	0							44
44	38	112	121	2.0	-3	3/4	1/2	0						end	30, 45
45	38	114	123	1.0	-3	3/4	1/4	1/2			1				46
46	39	115	124	3.0	-3	3/4	3/4	0							47
47	40	118	127	3.0	-3	3/4	3/4	0						start	48
48	41	121	130	3.0	-3	3/4	3/4	0							49
49	42	124	133	3.0	-3	3/4	3/4	0							50
50	43	127	136	3.0	-3	3/4	3/4	0							51
51	44	130	139	3.0	-3	3/4	3/4	0							52
52	45	133	142	3.0	-3	3/4	3/4	0							53, 55
53	46		145	3.0	-3	3/4	3/4	0	1						54
54	46		148	3.0	-3	3/4	3/4	0	1		1			end	47
55	46	136	151	2.0	-3	3/4	1/2	0	2		1				56
56	46	138	153	1.0	-3	3/4	1/4	1/2			1			start	57
57	47	139	154	3.0	-3	3/4	3/4	0							58
58	48	142	157	3.0	-3	3/4	3/4	0							59
59	49	145	160	3.0	-3	3/4	3/4	0							60
60	50	148	163	3.0	-3	3/4	3/4	0							61
61	51	151	166	3.0	-3	3/4	3/4	0							62
62	52	154	169	3.0	-3	3/4	3/4	0							63
63	53	157	172	3.0	-3	3/4	3/4	0							64, 65
64	53		175	2.0	-3	3/4	1/2	0	1		1			end	56
65	53	160	177	3.0	-3	3/4	3/4	0	2		1				66
66	54	163	180	3.0	-3	3/4	3/4	0							67
67	55	166	183	3.0	-3	3/4	3/4	0							68
68	56	169	186	3.0	-3	3/4	3/4	0							69
69	57	172	189	3.0	-3	3/4	3/4	0							70
70	58	175	192	3.0	-3	3/4	3/4	0							71
71	59	178	195	3.0	-3	3/4	3/4	0							72
72	60	181	198	3.0	-3	3/4	3/4	0							73
73	61	184	201	2.0	-3	3/4	1/2	0						lastMeasure	-1
