mc	mn	keysig	timesig	act_dur	offset	repeats	volta	barline	numbering_offset	dont_count	next
1	0	4	2/4	1/4	1/4	firstMeasure				1	2
2	1	4	2/4	1/2	0						3
3	2	4	2/4	1/2	0						4
4	3	4	2/4	1/2	0						5
5	4	4	2/4	1/2	0						6
6	5	4	2/4	1/2	0						7
7	6	4	2/4	1/2	0						8
8	7	4	2/4	1/2	0						9
9	8	4	2/4	1/2	0			double			10
10	9	4	3/4	3/4	0						11
11	10	4	3/4	3/4	0						12
12	11	4	3/4	3/4	0						13
13	12	4	3/4	3/4	0						14
14	13	4	3/4	3/4	0						15
15	14	4	3/4	3/4	0						16
16	15	4	3/4	5/4	0			other			17
17	15	4	2/4	1/4	0					1	18
18	16	4	2/4	1/2	1/4						19
19	17	4	2/4	1/2	0						20
20	18	4	2/4	1/2	0						21
21	19	4	2/4	1/2	0						22
22	20	4	2/4	1/2	0						23
23	21	4	2/4	1/2	0						24
24	22	4	2/4	1/2	0						25
25	23	4	2/4	1/2	0						26
26	24	4	2/4	1/2	0						27
27	25	4	2/4	1/2	0						28
28	26	4	2/4	1/2	0						29
29	27	4	2/4	1/2	0						30
30	28	4	2/4	1/2	0						31
31	29	4	2/4	1/2	0						32
32	30	4	2/4	1/2	0						33
33	31	4	2/4	1/2	0						34
34	32	4	2/4	1/2	0						35
35	33	4	2/4	1/2	0						36
36	34	4	2/4	1/2	0						37
37	35	4	2/4	1/2	0						38
38	36	4	2/4	1/2	0						39
39	37	4	2/4	1/2	0						40
40	38	4	2/4	1/2	0						41
41	39	4	2/4	1/2	0						42
42	40	4	2/4	1/2	0						43
43	41	4	2/4	1/2	0						44
44	42	4	2/4	1/2	0						45
45	43	4	2/4	1/2	0						46
46	44	4	2/4	1/2	0						47
47	45	4	2/4	1/2	0						48
48	46	4	2/4	1/2	0						49
49	47	4	2/4	1/2	0						50
50	48	4	2/4	1/2	0						51
51	49	4	2/4	1/2	0						52
52	50	4	2/4	1/2	0						53
53	51	4	2/4	1/2	0						54
54	52	4	2/4	1/2	0						55
55	53	4	2/4	1/2	0						56
56	54	4	2/4	1/2	0						57
57	55	4	2/4	1/2	0						58
58	56	4	2/4	1/2	0						59
59	57	4	2/4	1/2	0			double			60
60	58	4	3/4	3/4	0						61
61	59	4	3/4	3/4	0						62
62	60	4	3/4	3/4	0						63
63	61	0	3/4	3/4	0						64
64	62	0	3/4	3/4	0						65
65	63	4	3/4	3/4	0						66
66	64	4	3/4	3/8	0			other			67
67	65	4	3/4	3/8	3/8						68
68	65	4	3/4	3/4	0			other		1	69
69	66	4	2/4	1/2	0						70
70	67	4	2/4	1/2	0						71
71	68	4	2/4	1/2	0						72
72	69	4	2/4	1/2	0						73
73	70	4	2/4	1/2	0						74
74	71	4	2/4	1/2	0						75
75	72	4	2/4	1/2	0						76
76	73	4	2/4	1/2	0						77
77	74	4	2/4	1/2	0						78
78	75	4	2/4	1/2	0						79
79	76	4	2/4	1/2	0						80
80	77	4	2/4	1/2	0						81
81	78	4	2/4	1/2	0						82
82	79	4	2/4	1/2	0						83
83	80	4	2/4	1/2	0						84
84	81	4	2/4	1/2	0						85
85	82	4	2/4	1/2	0						86
86	83	4	2/4	1/2	0						87
87	84	4	2/4	1/2	0						88
88	85	4	2/4	1/2	0						89
89	86	4	2/4	1/2	0						90
90	87	4	2/4	1/2	0						91
91	88	4	2/4	1/2	0						92
92	89	4	2/4	1/2	0						93
93	90	4	2/4	1/2	0						94
94	91	4	2/4	1/2	0						95
95	92	4	2/4	1/2	0						96
96	93	4	2/4	1/2	0						97
97	94	4	2/4	1/2	0						98
98	95	4	2/4	1/2	0						99
99	96	4	2/4	1/2	0						100
100	97	4	2/4	1/2	0						101
101	98	4	2/4	1/2	0						102
102	99	4	2/4	1/2	0						103
103	100	4	2/4	1/4	0	lastMeasure		double			-1
