mc	mn	keysig	timesig	act_dur	offset	voices	repeats	volta	barline	numbering_offset	dont_count	next
1	1	1	6/8	3/4	0	2	firstMeasure					2
2	2	1	6/8	3/4	0	2						3
3	3	1	6/8	3/4	0	3						4
4	4	1	6/8	3/4	0	3						5
5	5	1	6/8	3/4	0	2						6
6	6	1	6/8	3/4	0	2						7
7	7	1	6/8	3/4	0	3						8
8	8	1	6/8	3/4	0	2						9
9	9	1	6/8	3/4	0	3						10
10	10	1	6/8	3/4	0	3						11
11	11	1	6/8	3/4	0	4						12
12	12	1	6/8	3/4	0	4						13
13	13	1	6/8	3/4	0	3						14
14	14	1	6/8	3/4	0	3						15
15	15	1	6/8	3/4	0	4						16
16	16	1	6/8	3/4	0	4						17
17	17	1	6/8	3/4	0	4						18
18	18	1	6/8	3/4	0	4						19
19	19	1	6/8	3/4	0	4						20
20	20	1	6/8	3/4	0	4						21
21	21	1	6/8	3/4	0	4						22
22	22	1	6/8	3/4	0	4						23
23	23	1	6/8	3/4	0	4						24
24	24	1	6/8	3/4	0	3						25
25	25	1	6/8	3/4	0	2						26
26	26	1	6/8	3/4	0	2						27
27	27	1	6/8	3/4	0	2						28
28	28	1	6/8	3/4	0	2						29
29	29	1	6/8	3/4	0	2						30
30	30	1	6/8	3/4	0	3						31
31	31	1	6/8	3/4	0	3						32
32	32	1	6/8	3/4	0	3						33
33	33	1	6/8	3/4	0	4						34
34	34	1	6/8	3/4	0	4						35
35	35	1	6/8	3/4	0	3						36
36	36	1	6/8	3/4	0	3						37
37	37	1	6/8	3/4	0	4						38
38	38	1	6/8	3/4	0	4						39
39	39	1	6/8	3/4	0	2						40
40	40	1	6/8	3/4	0	2						41
41	41	1	6/8	3/4	0	2						42
42	42	1	6/8	3/4	0	2						43
43	43	1	6/8	3/4	0	2						44
44	44	1	6/8	3/4	0	2						45
45	45	1	6/8	3/4	0	2						46
46	46	1	6/8	3/4	0	2						47
47	47	1	6/8	3/4	0	2						48
48	48	1	6/8	3/4	0	2						49
49	49	1	6/8	3/4	0	3						50
50	50	1	6/8	3/4	0	3						51
51	51	1	6/8	3/4	0	3						52
52	52	1	6/8	3/4	0	3						53
53	53	1	6/8	3/4	0	3						54
54	54	1	6/8	3/4	0	3						55
55	55	1	6/8	3/4	0	3						56
56	56	1	6/8	3/4	0	3						57
57	57	1	6/8	3/4	0	3						58
58	58	1	6/8	3/4	0	2						59
59	59	1	6/8	3/4	0	2						60
60	60	1	6/8	3/4	0	2						61
61	61	1	6/8	3/4	0	2						62
62	62	1	6/8	3/4	0	2						63
63	63	1	6/8	3/4	0	2						64
64	64	1	6/8	3/4	0	2						65
65	65	1	6/8	3/4	0	2						66
66	66	1	6/8	3/4	0	3						67
67	67	1	6/8	3/4	0	2						68
68	68	1	6/8	3/4	0	2						69
69	69	1	6/8	3/4	0	2						70
70	70	1	6/8	3/4	0	2						71
71	71	1	6/8	3/4	0	2						72
72	72	1	6/8	3/4	0	3						73
73	73	1	6/8	3/4	0	3						74
74	74	1	6/8	3/4	0	3						75
75	75	1	6/8	3/4	0	3						76
76	76	1	6/8	3/4	0	3						77
77	77	1	6/8	3/4	0	3						78
78	78	1	6/8	3/4	0	3						79
79	79	1	6/8	3/4	0	3						80
80	80	1	6/8	3/4	0	3						81
81	81	1	6/8	3/4	0	3						82
82	82	1	6/8	3/4	0	3						83
83	83	1	6/8	3/4	0	3						84
84	84	1	6/8	3/4	0	3						85
85	85	1	6/8	3/4	0	4						86
86	86	1	6/8	3/4	0	4						87
87	87	1	6/8	3/4	0	4						88
88	88	1	6/8	3/4	0	4						89
89	89	1	6/8	3/4	0	4						90
90	90	1	6/8	3/4	0	4						91
91	91	1	6/8	3/4	0	3						92
92	92	1	6/8	3/4	0	3						93
93	93	1	6/8	3/4	0	3						94
94	94	1	6/8	3/4	0	3						95
95	95	1	6/8	3/4	0	2						96
96	96	1	6/8	3/4	0	2						97
97	97	1	6/8	3/4	0	2						98
98	98	1	6/8	3/4	0	2						99
99	99	1	6/8	3/4	0	2						100
100	100	1	6/8	3/4	0	2						101
101	101	1	6/8	3/4	0	2						102
102	102	1	6/8	3/4	0	2						103
103	103	1	6/8	3/4	0	2						104
104	104	1	6/8	3/4	0	2						105
105	105	1	6/8	3/4	0	2						106
106	106	1	6/8	3/4	0	2						107
107	107	1	6/8	3/4	0	3						108
108	108	1	6/8	3/4	0	3						109
109	109	1	6/8	3/4	0	2						110
110	110	1	6/8	3/4	0	2						111
111	111	1	6/8	3/4	0	3						112
112	112	1	6/8	3/4	0	2						113
113	113	1	6/8	3/4	0	2						114
114	114	1	6/8	3/4	0	3						115
115	115	1	6/8	3/4	0	3						116
116	116	1	6/8	3/4	0	2						117
117	117	1	6/8	3/4	0	2						118
118	118	1	6/8	3/4	0	3						119
119	119	1	6/8	3/4	0	3						120
120	120	1	6/8	3/4	0	3						121
121	121	1	6/8	3/4	0	3						122
122	122	1	6/8	3/4	0	3						123
123	123	1	6/8	3/4	0	3						124
124	124	1	6/8	3/4	0	2						125
125	125	1	6/8	3/4	0	2						126
126	126	1	6/8	3/4	0	2						127
127	127	1	6/8	3/4	0	2						128
128	128	1	6/8	3/4	0	2						129
129	129	1	6/8	3/4	0	2						130
130	130	1	6/8	3/4	0	3						131
131	131	1	6/8	3/4	0	3						132
132	132	1	6/8	3/4	0	4						133
133	133	1	6/8	3/4	0	4						134
134	134	1	6/8	3/4	0	3						135
135	135	1	6/8	3/4	0	3						136
136	136	1	6/8	3/4	0	4						137
137	137	1	6/8	3/4	0	4						138
138	138	1	6/8	3/4	0	3						139
139	139	1	6/8	3/4	0	3						140
140	140	1	6/8	3/4	0	2						141
141	141	1	6/8	3/4	0	2						142
142	142	1	6/8	3/4	0	2						143
143	143	1	6/8	3/4	0	2						144
144	144	1	6/8	3/4	0	2						145
145	145	1	6/8	3/4	0	2						146
146	146	1	6/8	3/4	0	2						147
147	147	1	6/8	3/4	0	2						148
148	148	1	6/8	3/4	0	2						149
149	149	1	6/8	3/4	0	2						150
150	150	1	6/8	3/4	0	3						151
151	151	1	6/8	3/4	0	3						152
152	152	1	6/8	3/4	0	3						153
153	153	1	6/8	3/4	0	3						154
154	154	1	6/8	3/4	0	3						155
155	155	1	6/8	3/4	0	3						156
156	156	1	6/8	3/4	0	3						157
157	157	1	6/8	3/4	0	4						158
158	158	1	6/8	3/4	0	2						159
159	159	1	6/8	3/4	0	2						160
160	160	1	6/8	3/4	0	2						161
161	161	1	6/8	3/4	0	2						162
162	162	1	6/8	3/4	0	2						163
163	163	1	6/8	3/4	0	2						164
164	164	1	6/8	3/4	0	2						165
165	165	1	6/8	3/4	0	2						166
166	166	1	6/8	3/4	0	2						167
167	167	1	6/8	3/4	0	2						168
168	168	1	6/8	3/4	0	2						169
169	169	1	6/8	3/4	0	2						170
170	170	1	6/8	3/4	0	2						171
171	171	1	6/8	3/4	0	2						172
172	172	1	6/8	3/4	0	2						173
173	173	1	6/8	3/4	0	2						174
174	174	1	6/8	3/4	0	2						175
175	175	1	6/8	3/4	0	2						176
176	176	1	6/8	3/4	0	2						177
177	177	1	6/8	3/4	0	2	lastMeasure					-1
