mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	0	3.0	4	3/4	3/4	0						firstMeasure	2
2	2	3	3	3.0	4	3/4	3/4	0							3
3	3	6	6	3.0	4	3/4	3/4	0							4
4	4	9	9	3.0	4	3/4	3/4	0							5
5	5	12	12	3.0	4	3/4	3/4	0							6
6	6	15	15	3.0	4	3/4	3/4	0							7
7	7	18	18	3.0	4	3/4	3/4	0							8
8	8	21	21	3.0	4	3/4	3/4	0						end	1, 9
9	9	24	24	3.0	4	3/4	3/4	0						start	10
10	10	27	27	3.0	4	3/4	3/4	0							11
11	11	30	30	3.0	4	3/4	3/4	0							12
12	12	33	33	3.0	4	3/4	3/4	0							13
13	13	36	36	3.0	4	3/4	3/4	0							14
14	14	39	39	3.0	4	3/4	3/4	0							15
15	15	42	42	3.0	4	3/4	3/4	0							16
16	16	45	45	3.0	4	3/4	3/4	0						end	9, 17
17	17	48	48	3.0	4	3/4	3/4	0						start	18
18	18	51	51	3.0	4	3/4	3/4	0							19
19	19	54	54	3.0	4	3/4	3/4	0							20
20	20	57	57	3.0	4	3/4	3/4	0							21
21	21	60	60	3.0	4	3/4	3/4	0							22
22	22	63	63	3.0	4	3/4	3/4	0							23
23	23	66	66	3.0	4	3/4	3/4	0							24, 25
24	24		69	3.0	4	3/4	3/4	0	1					end	17
25	24	69	72	3.0	4	3/4	3/4	0	2		1				26
26	25	72	75	3.0	4	3/4	3/4	0							27
27	26	75	78	3.0	4	3/4	3/4	0						start	28
28	27	78	81	3.0	4	3/4	3/4	0							29
29	28	81	84	3.0	4	3/4	3/4	0							30
30	29	84	87	3.0	4	3/4	3/4	0							31
31	30	87	90	3.0	4	3/4	3/4	0							32
32	31	90	93	3.0	4	3/4	3/4	0							33, 35
33	32		96	3.0	4	3/4	3/4	0	1						34
34	32		99	3.0	4	3/4	3/4	0	1		1			end	27
35	32	93	102	3.0	4	3/4	3/4	0	2		1	end			36
