mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0	0.5		0	3/8	2/4	2	1	1/8		1/8	1		-1	41	F2	2	1
1	0	0	0	0.5		0	3/8	2/4	2	1	1/8		1/8	1		0	48	C3	3	1
1	0	0	0	0.5		0	3/8	2/4	2	1	1/8		1/8	1		-1	53	F3	3	1
1	0	0	0	0.5		0	3/8	2/4	1	1	1/8		1/8	1		3	57	A3	3	0
1	0	0	0	0.5		0	3/8	2/4	1	1	1/8		1/8	1		0	60	C4	4	0
1	0	0	0	0.5		0	3/8	2/4	1	1	1/8		1/8	1		-1	65	F4	4	0
1	0	0	0	0.5		0	3/8	2/4	1	1	1/8		1/8	1		3	69	A4	4	0
2	1	1/2	1/2	1.0		0	0	2/4	2	1	1/4		1/4	1		-1	41	F2	2	6
2	1	1/2	1/2	1.0		0	0	2/4	2	1	1/4		1/4	1		0	48	C3	3	6
2	1	1/2	1/2	1.0		0	0	2/4	2	1	1/4		1/4	1		-1	53	F3	3	6
2	1	1/2	1/2	1.0		0	0	2/4	1	1	1/4		1/4	1		0	60	C4	4	2
2	1	1/2	1/2	1.0		0	0	2/4	1	1	1/4		1/4	1		-1	65	F4	4	2
2	1	1/2	1/2	1.0		0	0	2/4	1	1	1/4		1/4	1		3	69	A4	4	2
2	1	1/2	1/2	1.0		0	0	2/4	1	1	1/4		1/4	1		0	72	C5	5	2
2	1	2	2	0.16666666666666666		3/8	3/8	2/4	1	1	1/24		1/16	2/3		0	72	C5	5	3
2	1	13/6	13/6	0.16666666666666666		5/12	5/12	2/4	1	1	1/24		1/16	2/3		5	71	B4	4	4
2	1	7/3	7/3	0.16666666666666666		11/24	11/24	2/4	1	1	1/24		1/16	2/3		2	74	D5	5	5
3	2	5/2	5/2	1.0		0	0	2/4	1	1	1/4		1/4	1		0	72	C5	5	7
3	2	4	4	0.5		3/8	3/8	2/4	2	1	1/8		1/8	1		-1	41	F2	2	9
3	2	4	4	0.5		3/8	3/8	2/4	2	1	1/8		1/8	1		0	48	C3	3	9
3	2	4	4	0.5		3/8	3/8	2/4	2	1	1/8		1/8	1		-1	53	F3	3	9
3	2	4	4	0.5		3/8	3/8	2/4	1	1	1/8		1/8	1		0	60	C4	4	8
3	2	4	4	0.5		3/8	3/8	2/4	1	1	1/8		1/8	1		-1	65	F4	4	8
3	2	4	4	0.5		3/8	3/8	2/4	1	1	1/8		1/8	1		3	69	A4	4	8
4	3	9/2	9/2	1.0		0	0	2/4	2	1	1/4		1/4	1		4	40	E2	2	14
