mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	1	0	0	2/4	2	1	1/4		1/4	1		-4	44		10
1	1	0	0	2/4	1	2	1/16		1/16	1		-4	56		2
1	1	0	0	2/4	1	1	1/4		1/4	1		0	60		0
1	1	1/16	1/16	2/4	1	2	1/16		1/16	1		-3	51		3
1	1	1/8	1/8	2/4	1	2	1/16		1/16	1		-4	56		4
1	1	3/16	3/16	2/4	1	2	1/16		1/16	1		-3	51		5
1	1	1/4	1/4	2/4	2	1	1/4		1/4	1		-5	49		11
1	1	1/4	1/4	2/4	1	2	1/16		1/16	1		1	55		6
1	1	1/4	1/4	2/4	1	1	1/4		1/4	1		-2	58		1
1	1	5/16	5/16	2/4	1	2	1/16		1/16	1		-3	51		7
1	1	3/8	3/8	2/4	1	2	1/16		1/16	1		1	55		8
1	1	7/16	7/16	2/4	1	2	1/16		1/16	1		-3	51		9
2	2	0	0	2/4	2	1	1/4		1/4	1		0	48		22
2	2	0	0	2/4	1	2	1/16		1/16	1		-4	56		14
2	2	0	0	2/4	1	1	3/8		1/4	3/2		-3	63		12
2	2	1/16	1/16	2/4	1	2	1/16		1/16	1		-3	51		15
2	2	1/8	1/8	2/4	1	2	1/16		1/16	1		-4	56		16
2	2	3/16	3/16	2/4	1	2	1/16		1/16	1		-3	51		17
2	2	1/4	1/4	2/4	2	1	1/4		1/4	1		1	43		23
2	2	1/4	1/4	2/4	1	2	1/16		1/16	1		-2	58		18
2	2	5/16	5/16	2/4	1	2	1/16		1/16	1		-3	51		19
2	2	3/8	3/8	2/4	1	2	1/16		1/16	1		-2	58		20
2	2	3/8	3/8	2/4	1	1	1/8		1/8	1		-5	61		13
2	2	7/16	7/16	2/4	1	2	1/16		1/16	1		-3	51		21
3	3	0	0	2/4	2	1	1/8		1/8	1		-4	44		36
3	3	0	0	2/4	1	2	1/16		1/16	1		-4	56		28
3	3	0	0	2/4	1	1	1/8		1/8	1		0	60		24
3	3	1/16	1/16	2/4	1	2	1/16		1/16	1		-3	51		29
3	3	1/8	1/8	2/4	2	1	1/8		1/8	1		1	43		37
3	3	1/8	1/8	2/4	1	2	1/16		1/16	1		-2	58		30
3	3	1/8	1/8	2/4	1	1	1/8		1/8	1		-3	63		25
3	3	3/16	3/16	2/4	1	2	1/16		1/16	1		-3	51		31
3	3	1/4	1/4	2/4	2	1	1/8		1/8	1		-1	41		38
3	3	1/4	1/4	2/4	1	2	1/16		1/16	1		0	60		32
3	3	1/4	1/4	2/4	1	1	1/8		1/8	1		-4	68		26
3	3	5/16	5/16	2/4	1	2	1/16		1/16	1		-4	56		33
3	3	3/8	3/8	2/4	2	1	1/8		1/8	1		-1	53		39
3	3	3/8	3/8	2/4	1	2	1/16		1/16	1		2	62		34
3	3	3/8	3/8	2/4	1	1	1/8		1/8	1		-2	70		27
3	3	7/16	7/16	2/4	1	2	1/16		1/16	1		-4	56		35
4	4	0	0	2/4	2	1	1/4		1/4	1		-3	51		50
4	4	0	0	2/4	1	2	1/16		1/16	1		1	55		42
4	4	0	0	2/4	1	1	3/8		1/4	3/2		-3	63		40
4	4	1/16	1/16	2/4	1	2	1/16		1/16	1		-2	58		43
4	4	1/8	1/8	2/4	1	2	1/16		1/16	1		1	55		44
4	4	3/16	3/16	2/4	1	2	1/16		1/16	1		-2	58		45
4	4	1/4	1/4	2/4	2	1	1/4		1/4	1		-3	39		51
4	4	1/4	1/4	2/4	1	2	1/16		1/16	1		1	55		46
4	4	5/16	5/16	2/4	1	2	1/16		1/16	1		-2	58		47
4	4	3/8	3/8	2/4	1	2	1/16		1/16	1		1	55		48
4	4	3/8	3/8	2/4	1	1	1/8		1/8	1		4	64		41
4	4	7/16	7/16	2/4	1	2	1/16		1/16	1		-2	58		49
5	5	0	0	2/4	2	1	1/4		1/4	1		-5	37		64
5	5	0	0	2/4	1	2	1/16		1/16	1		1	55		56
5	5	0	0	2/4	1	1	1/4		1/4	1		-1	65		52
5	5	1/16	1/16	2/4	1	2	1/16		1/16	1		-2	58		57
5	5	1/8	1/8	2/4	1	2	1/16		1/16	1		1	55		58
5	5	3/16	3/16	2/4	1	2	1/16		1/16	1		-2	58		59
5	5	1/4	1/4	2/4	2	1	1/4		1/4	1		-5	49		65
5	5	1/4	1/4	2/4	1	2	1/16		1/16	1		1	55		60
5	5	1/4	1/4	2/4	1	1	3/16		1/8	3/2		-2	58		53
5	5	5/16	5/16	2/4	1	2	1/16		1/16	1		-3	51		61
5	5	3/8	3/8	2/4	1	2	1/16		1/16	1		1	55		62
5	5	7/16	7/16	2/4	1	2	1/16		1/16	1		-3	51		63
5	5	7/16	7/16	2/4	1	1	1/32		1/32	1		0	60		54
5	5	15/32	15/32	2/4	1	1	1/32		1/32	1		-5	61		55
6	6	0	0	2/4	2	1	1/4		1/4	1		0	48		76
6	6	0	0	2/4	1	2	1/16		1/16	1		-4	56		68
6	6	0	0	2/4	1	1	1/4		1/4	1		-3	63		66
6	6	1/16	1/16	2/4	1	2	1/16		1/16	1		-3	51		69
