mc	mn	onset	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	staff	voice	volta
1	1	0	1/2		1/2	1		-4	44	2	1	
1	1	0	1/2		1/2	1		-3	51	2	1	
1	1	0	1/2		1/2	1		-1	53	2	1	
1	1	0	1/2		1/2	1		-4	56	2	1	
1	1	0	1/2		1/2	1		0	60	1	2	
1	1	0	1/2		1/2	1		-3	63	1	2	
1	1	0	3/16		1/8	3/2		0	72	1	1	
1	1	3/16	1/16		1/16	1		-1	65	1	1	
1	1	1/4	1/4		1/4	1		-1	65	1	1	
2	2	0	1/2		1/2	1		-4	44	2	1	
2	2	0	1/2		1/2	1		-3	51	2	1	
2	2	0	1/2		1/2	1		-1	53	2	1	
2	2	0	1/2		1/2	1		-4	56	2	1	
2	2	0	1/2		1/2	1		0	60	1	2	
2	2	0	1/2		1/2	1		-3	63	1	2	
2	2	0	3/16		1/8	3/2		0	72	1	1	
2	2	3/16	1/16		1/16	1		-1	65	1	1	
2	2	1/4	1/4		1/4	1		-1	65	1	1	
3	3	0	1/4		1/4	1		-4	32	2	1	
3	3	0	1/4		1/4	1		-3	39	2	1	
3	3	0	1/4		1/4	1		0	60	1	1	
3	3	0	1/4		1/4	1		-3	63	1	1	
3	3	0	1/4		1/4	1		-1	65	1	1	
3	3	1/4	1/4		1/4	1		-4	32	2	1	
3	3	1/4	1/4		1/4	1		-3	39	2	1	
3	3	1/4	1/4		1/4	1		0	60	1	1	
3	3	1/4	1/4		1/4	1		-3	63	1	1	
3	3	1/4	1/4		1/4	1		-1	65	1	1	
3	3	1/2	1/4		1/4	1		-4	32	2	1	
3	3	1/2	1/4		1/4	1		-3	39	2	1	
3	3	1/2	1/4		1/4	1		0	60	1	1	
3	3	1/2	1/4		1/4	1		-3	63	1	1	
3	3	1/2	1/4		1/4	1		-1	65	1	1	
4	4	0	3/4		1/2	3/2		3	33	2	1	
4	4	0	3/4		1/2	3/2		-3	39	2	1	
4	4	0	3/4		1/2	3/2		0	60	1	1	
4	4	0	3/4		1/2	3/2		-3	63	1	1	
4	4	0	3/4		1/2	3/2		-6	66	1	1	
5	5	0	1/4		1/4	1		3	45	2	1	
5	5	0	1/4		1/4	1		-3	51	2	1	
5	5	0	1/4		1/4	1		-6	54	2	1	
5	5	0	1/4		1/4	1		0	60	1	1	
5	5	0	1/4		1/4	1		-3	63	1	1	
5	5	0	1/4		1/4	1		-6	66	1	1	
5	5	1/4	1/4		1/4	1		3	45	2	1	
5	5	1/4	1/4		1/4	1		-3	51	2	1	
5	5	1/4	1/4		1/4	1		-6	54	2	1	
5	5	1/4	1/4		1/4	1		0	60	1	1	
5	5	1/4	1/4		1/4	1		-3	63	1	1	
5	5	1/4	1/4		1/4	1		-6	66	1	1	
5	5	1/2	1/4		1/4	1		3	45	2	1	
5	5	1/2	1/4		1/4	1		-3	51	2	1	
5	5	1/2	1/4		1/4	1		-6	54	2	1	
5	5	1/2	1/4		1/4	1		0	60	1	1	
5	5	1/2	1/4		1/4	1		-3	63	1	1	
5	5	1/2	1/4		1/4	1		-6	66	1	1	
6	6	0	3/4		1/2	3/2		-2	46	2	1	
6	6	0	3/4		1/2	3/2		-3	51	2	1	
6	6	0	3/4		1/2	3/2		1	55	2	1	
6	6	0	3/4		1/2	3/2		-2	58	1	1	
6	6	0	3/4		1/2	3/2		-3	63	1	1	
6	6	0	3/4		1/2	3/2		1	67	1	1	
7	7	0	1/4		1/4	1		-2	34	2	1	
7	7	0	1/4		1/4	1		-2	46	2	1	
7	7	0	1/4		1/4	1		-4	56	1	2	
7	7	0	1/4		1/4	1		2	62	1	2	
7	7	0	1/8		1/8	1		1	67	1	1	
7	7	1/8	1/8		1/8	1		-1	65	1	1	
7	7	1/4	1/4		1/4	1		-2	34	2	1	
7	7	1/4	1/4		1/4	1		-2	46	2	1	
7	7	1/4	1/4		1/4	1		-4	56	1	2	
7	7	1/4	1/4		1/4	1		2	62	1	2	
7	7	1/4	1/16		1/16	1		-1	65	1	1	
7	7	5/16	1/16		1/16	1		1	67	1	1	
7	7	3/8	1/16		1/16	1		-1	65	1	1	
7	7	7/16	1/16		1/16	1		4	64	1	1	
7	7	1/2	1/4		1/4	1		-2	34	2	1	
7	7	1/2	1/4		1/4	1		-2	46	2	1	
7	7	1/2	1/4		1/4	1		-4	56	1	2	
7	7	1/2	1/4		1/4	1		2	62	1	2	
7	7	1/2	1/8		1/8	1		-1	65	1	1	
7	7	5/8	1/8		1/8	1		1	67	1	1	
8	8	0	1/4		1/4	1		-3	39	2	1	
8	8	0	1/4		1/4	1		-3	51	2	1	
8	8	0	1/16		1/16	1		1	55	1	1	
8	8	0	1/16		1/16	1		-3	63	1	1	
8	8	1/16	1/16		1/16	1		-1	65	1	1	
8	8	1/8	1/16		1/16	1		-3	63	1	1	
8	8	3/16	1/16		1/16	1		2	62	1	1	
8	8	1/4	1/12		1/8	2/3		-3	63	1	1	
8	8	1/3	1/12		1/8	2/3		-1	65	1	1	
8	8	5/12	1/12		1/8	2/3		1	67	1	1	
8	8	1/2	1/12		1/8	2/3		-4	68	1	1	
8	8	7/12	1/12		1/8	2/3		-2	70	1	1	
8	8	2/3	1/12		1/8	2/3		0	72	1	1	
9	9	0	1/12		1/8	2/3		2	74	1	1	
9	9	1/12	1/12		1/8	2/3		-3	75	1	1	
9	9	1/6	1/12		1/8	2/3		-1	77	1	1	
9	9	1/4	1/12		1/8	2/3		6	78	1	1	
9	9	1/3	1/12		1/8	2/3		1	79	1	1	
9	9	5/12	1/12		1/8	2/3		-4	80	1	1	
9	9	1/2	1/12		1/8	2/3		3	81	1	1	
9	9	7/12	1/12		1/8	2/3		-2	82	1	1	
9	9	2/3	1/12		1/8	2/3		5	83	1	1	
10	10	0	1/2		1/2	1		-4	68	2	1	
10	10	0	1/2		1/2	1		0	72	2	1	
10	10	0	1/2		1/2	1		-3	75	2	1	
10	10	0	3/16		1/8	3/2		0	84	1	1	
10	10	3/16	1/16		1/16	1		-1	77	1	1	
10	10	1/4	1/4		1/4	1		-1	77	1	1	
11	11	0	0	acciaccatura	1/8	1		5	71	1	1	
11	11	0	1/2		1/2	1		-4	56	2	1	
11	11	0	1/2		1/2	1		0	60	2	1	
11	11	0	1/2		1/2	1		-3	63	2	1	
11	11	0	3/16		1/8	3/2		0	72	1	1	
11	11	3/16	1/16		1/16	1		-1	65	1	1	
11	11	1/4	1/4		1/4	1		-1	65	1	1	
12	12	0	1/4		1/4	1		-4	32	2	1	
12	12	0	1/4		1/4	1		-4	44	2	1	
12	12	0	1/4		1/4	1		0	48	1	1	
12	12	0	1/4		1/4	1		-3	51	1	1	
12	12	0	1/4		1/4	1		-1	53	1	1	
12	12	1/4	1/4		1/4	1		-4	32	2	1	
12	12	1/4	1/4		1/4	1		-4	44	2	1	
12	12	1/4	1/4		1/4	1		0	48	1	1	
12	12	1/4	1/4		1/4	1		-3	51	1	1	
12	12	1/4	1/4		1/4	1		-1	53	1	1	
12	12	1/2	1/4		1/4	1		-4	32	2	1	
12	12	1/2	1/4		1/4	1		-4	44	2	1	
12	12	1/2	1/4		1/4	1		0	48	1	1	
12	12	1/2	1/4		1/4	1		-3	51	1	1	
12	12	1/2	1/4		1/4	1		-1	53	1	1	
13	13	0	3/4		1/2	3/2		3	33	2	1	
13	13	0	3/4		1/2	3/2		3	45	2	1	
13	13	0	3/4		1/2	3/2		0	48	1	1	
13	13	0	3/4		1/2	3/2		-3	51	1	1	
13	13	0	3/4		1/2	3/2		-6	54	1	1	
14	14	0	1/4		1/4	1		3	69	2	1	
14	14	0	1/4		1/4	1		0	72	1	1	
14	14	0	1/4		1/4	1		-3	75	1	1	
14	14	0	1/4		1/4	1		-6	78	1	1	
14	14	1/4	1/4		1/4	1		3	69	2	1	
14	14	1/4	1/4		1/4	1		0	72	1	1	
14	14	1/4	1/4		1/4	1		-3	75	1	1	
14	14	1/4	1/4		1/4	1		-6	78	1	1	
14	14	1/2	1/4		1/4	1		3	69	2	1	
14	14	1/2	1/4		1/4	1		0	72	1	1	
14	14	1/2	1/4		1/4	1		-3	75	1	1	
14	14	1/2	1/4		1/4	1		-6	78	1	1	
15	15	0	3/4		1/2	3/2		-2	70	2	1	
15	15	0	3/4		1/2	3/2		-3	75	1	1	
15	15	0	3/4		1/2	3/2		1	79	1	1	
16	16	0	1/4		1/4	1		-2	34	2	1	
16	16	0	1/4		1/4	1		-2	46	2	1	
16	16	0	1/4		1/4	1		-4	56	1	2	
16	16	0	1/4		1/4	1		2	62	1	2	
16	16	0	1/8		1/8	1		1	67	1	1	
16	16	1/8	1/8		1/8	1		-1	65	1	1	
16	16	1/4	1/4		1/4	1		-2	34	2	1	
16	16	1/4	1/4		1/4	1		-2	46	2	1	
16	16	1/4	1/4		1/4	1		-4	56	1	2	
16	16	1/4	1/4		1/4	1		2	62	1	2	
16	16	1/4	1/16		1/16	1		-1	65	1	1	
16	16	5/16	1/16		1/16	1		1	67	1	1	
16	16	3/8	1/16		1/16	1		-1	65	1	1	
16	16	7/16	1/16		1/16	1		4	64	1	1	
16	16	1/2	1/4		1/4	1		-2	34	2	1	
16	16	1/2	1/4		1/4	1		-2	46	2	1	
16	16	1/2	1/4		1/4	1		-4	56	1	2	
16	16	1/2	1/4		1/4	1		2	62	1	2	
16	16	1/2	1/8		1/8	1		-1	65	1	1	
16	16	5/8	1/8		1/8	1		1	67	1	1	
17	17	0	1/8		1/8	1		-3	39	2	1	
17	17	0	1/8		1/8	1		-3	51	2	1	
