mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	1	0	0	2/4	2	1	1/4	1/4	1.0		-1	41		2
1	1	0	0	2/4	2	1	1/4	1/4	1.0		-1	53		2
1	1	0	0	2/4	1	1	1/4	1/4	1.0		-4	68		0
1	1	0	0	2/4	1	1	1/4	1/4	1.0		0	72		0
1	1	1/4	1/4	2/4	2	1	1/4	1/4	1.0		1	43		3
1	1	1/4	1/4	2/4	2	1	1/4	1/4	1.0		1	55		3
1	1	1/4	1/4	2/4	1	1	1/4	1/4	1.0		4	64		1
1	1	1/4	1/4	2/4	1	1	1/4	1/4	1.0		-2	70		1
2	2	0	0	2/4	2	1	1/4	1/4	1.0		-4	44		6
2	2	0	0	2/4	2	1	1/4	1/4	1.0		-4	56		6
2	2	0	0	2/4	1	1	1/4	1/4	1.0		-1	65		4
2	2	0	0	2/4	1	1	1/4	1/4	1.0		-4	68		4
2	2	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-2	46		7
2	2	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-2	58		7
2	2	1/4	1/4	2/4	1	1	1/4	1/4	1.0		-5	61		5
2	2	1/4	1/4	2/4	1	1	1/4	1/4	1.0		4	64		5
2	2	1/4	1/4	2/4	1	1	1/4	1/4	1.0		1	67		5
3	3	0	0	2/4	2	1	1/4	1/4	1.0		5	47		10
3	3	0	0	2/4	1	1	1/4	1/4	1.0		-4	56		8
3	3	0	0	2/4	2	1	1/4	1/4	1.0		5	59		10
3	3	0	0	2/4	1	1	1/4	1/4	1.0		2	62		8
3	3	0	0	2/4	1	1	1/4	1/4	1.0		-1	65		8
3	3	1/4	1/4	2/4	2	1	1/4	1/4	1.0		5	47		11
3	3	1/4	1/4	2/4	1	1	1/4	1/4	1.0		-4	56		9
3	3	1/4	1/4	2/4	2	1	1/4	1/4	1.0		5	59		11
3	3	1/4	1/4	2/4	1	1	1/4	1/4	1.0		2	62		9
3	3	1/4	1/4	2/4	1	1	1/4	1/4	1.0		-1	65		9
4	4	0	0	2/4	2	1	1/2	1/2	1.0		0	48		13
4	4	0	0	2/4	1	1	1/2	1/2	1.0		1	55		12
4	4	0	0	2/4	2	1	1/2	1/2	1.0		0	60		13
4	4	0	0	2/4	1	1	1/2	1/2	1.0		4	64		12
5	5	0	0	2/4	2	1	1/4	1/4	1.0		0	36		16
5	5	0	0	2/4	2	1	1/4	1/4	1.0		0	48		16
5	5	0	0	2/4	1	1	1/4	1/4	1.0		0	72		14
5	5	0	0	2/4	1	1	1/4	1/4	1.0		4	76		14
