mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	2	1	d.V6{						d	i		V6		V		6				{	M	1	1	7, 4, 3		3	7	0	12	0.0	0.0	8.0	0.0
2	2	3/4	3/4	4/4	2	1	V65						d	i		V65		V		65					Mm7	1	1	7, 4, 1, 3		3	7	0	4	0.0	0.0	0.75	0.0
3	3	0	0	4/4	2	1	i						d	i		i		i							m	1	1	2, -1, 3		2	2	1	3	0.25	0.125	0.625	0.16666666666666666
3	3	1/4	1/4	4/4	2	1	V64						d	i		V64		V		64					M	1	1	4, 3, 7		3	4	1	3	0.25	0.125	0.625	0.16666666666666666
3	3	1/2	1/2	4/4	2	1	i6						d	i		i6		i		6					m	1	1	-1, 3, 2		2	-1	1	3	0.25	0.125	0.625	0.16666666666666666
3	3	3/4	3/4	4/4	2	1	V65						d	i		V65		V		65					Mm7	1	1	7, 4, 1, 3		3	7	0	4	0.0	0.0	0.75	0.0
4	4	0	0	4/4	2	1	i						d	i		i		i							m	1	1	2, -1, 3		2	2	1	3	0.25	0.125	0.625	0.16666666666666666
4	4	1/4	1/4	4/4	2	1	V64						d	i		V64		V		64					M	1	1	4, 3, 7		3	4	1	3	0.25	0.125	0.625	0.16666666666666666
4	4	1/2	1/2	4/4	2	1	i6						d	i		i6		i		6					m	1	1	-1, 3, 2		2	-1	1	3	0.25	0.125	0.625	0.16666666666666666
4	4	3/4	3/4	4/4	2	1	V65/iv						d	i		V65/iv		V		65		iv			Mm7	1	1	6, 3, 0, 2		2	6	0	4	0.0	0.0	0.75	0.0
5	5	0	0	4/4	2	1	iv						d	i		iv		iv							m	1	1	1, -2, 2		1	1	1	3	0.25	0.125	0.625	0.16666666666666666
5	5	1/4	1/4	4/4	2	1	V64/iv						d	i		V64/iv		V		64		iv			M	1	1	3, 2, 6		2	3	1	3	0.25	0.125	0.625	0.16666666666666666
5	5	1/2	1/2	4/4	2	1	iv6						d	i		iv6		iv		6					m	1	1	-2, 2, 1		1	-2	1	3	0.25	0.125	0.625	0.16666666666666666
5	5	3/4	3/4	4/4	2	1	It6						d	i		It6	It	vii	o	6	b3	V			It	1	1	-2, 2, 8		8	-2	1	3	0.25	0.125	0.625	0.16666666666666666
6	6	0	0	4/4	2	1	V(#764)	-0.562089	5.31369	/			d	i		V(#764)		V			#764				M	1	1	3, 2, -1	8	3	3	1	5	0.16666666666666666	0.0625	1.9375	0.03125
6	6	1/2	1/2	4/4	2	1	V|HC}{	-0.449671	5.3135	/			d	i		V		V					HC	}{	M	1	1	3, 7, 4		3	3	0	4	0.0	0.0	2.0	0.0
7	7	0	0	4/4	2	1	V6/III	-0.224836	5.09132	/			d	i		V6/III		V		6		III			M	1	1	4, 1, 0		0	4	0	12	0.0	0.0	8.0	0.0
8	8	3/4	3/4	4/4	2	1	V65/III	-1	-6	/			d	i		V65/III		V		65		III			Mm7	1	1	4, 1, -2, 0		0	4	0	4	0.0	0.0	0.75	0.0
9	9	0	0	4/4	2	1	III(4)						d	i		III(4)		III			4				M	1	1	-1, -2, 0		-1	-1	1	3	0.25	0.125	0.625	0.16666666666666666
9	9	1/4	1/4	4/4	2	1	III						d	i		III		III							M	1	1	-1, 3, 0		-1	-1	2	2	0.5	0.25	0.25	0.5
9	9	3/4	3/4	4/4	2	1	V65/iv						d	i		V65/iv		V		65		iv			Mm7	1	1	6, 3, 0, 2		2	6	0	4	0.0	0.0	0.75	0.0
10	10	0	0	4/4	2	1	iv(4)						d	i		iv(4)		iv			4				m	1	1	1, 0, 2		1	1	1	3	0.25	0.125	0.625	0.16666666666666666
10	10	1/4	1/4	4/4	2	1	iv						d	i		iv		iv							m	1	1	1, -2, 2		1	1	2	2	0.5	0.25	0.25	0.5
10	10	3/4	3/4	4/4	2	1	bII6						d	i		bII6		bII		6					M	1	1	1, -2, -3		-3	1	3	4	0.42857142857142855	0.375	0.875	0.3
